PANTALLA;89;926
MICROFONO;85;692
PANEL TACTIL;24;518
VIDEOCONFERENCIA;43;510
PC;49;248
MONITOR;34;222
CAMARA;47;213
ALTAVOZ;25;179
TRANSMISOR VIDEO;18;166
PROYECTOR;52;138
CAJA CONEXIONES;2;116
RECEPTOR VIDEO;12;115
BARRA VIDEOCONFERENCIA;9;112
TECLADO;11;64
TOTEM PANTALLA;21;59
CONTROLADORA;18;56
ESCALADOR;18;54
BARRA;8;49
SOPORTE PANTALLA;9;48
DOCK STATION;4;45
PANTALLA ROOMWIZARD;1;45
TECLADO/RATON;8;43
RECEPTOR DE VIDEO;2;41
EXTENSOR;8;33
RECEPTOR MICROFONO;14;32
SOPORTE ALTAVOZ;2;32
ALTAVOCES;10;29
MICROFONO MESA;6;28
TOTEM;14;26
MATRIZ;14;24
SWITCH;8;24
AMPLIFICADOR;15;23
DISTRIBUIDOR;14;23
PANTALLA DE PROYECCION;14;23
SOPORTE;8;22
TELEFONO IP;6;22
PROCESADOR AUDIO;14;21
UNIDAD CONTROL MICROFONIA;8;19
MICROFONIA;4;19
TRANSMISOR DE VIDEO;1;16
KIT TECLADO Y RATON;8;15
DOCKSTATION;2;15
PUPITRES AUDIO;1;15
PROCESADOR DE AUDIO;8;14
PANEL CISCO;2;14
ALTAVOCES TECHO;2;14
BANDEJA CAMARA;1;14
CONVERSOR;7;13
MONITOR TACTIL;5;13
EXTENSOR VIDEO;3;13
TOUCH PANEL;2;13
RECEPTOR;6;12
PASADOR;6;11
SOPORTE PARED;5;11
SOPORTE PROYECTOR;4;11
WEBCAM;5;10
RECEPTOR MICROFONIA;5;10
SELECTOR;6;9
BOTONERA;3;9
CAJA DE MESA;2;8
CONTROLADORA PROYECTOR;1;8
KIT BOTONES;1;8
MEZCLADOR AUDIO;6;7
EMISOR HDBASET;4;7
RECEPTOR HDBASET;4;7
EMISOR VIDEO;3;7
ETAPA DE POTENCIA;5;6
PANTALLA ELECTRICA;3;6
RATON;3;6
PUPITRE;2;6
TECLADO INALAMBRICO;1;6
DISTRIBUIDOR VW;1;6
EMBEBEDOR DE AUDIO;1;6
CAJAS ACUSTICAS;2;5
AMINO;2;5
PASARELA RELE;2;5
HDMI EMBEBEDOR/DESEMBEBEDOR;2;5
PASARELA MODULO RELE;2;5
PASARELA;2;5
EMBEBEDOR AUDIO;1;5
BASE CARGA MICROFONO;1;5
TRANSMISOR AUDIO;3;4
RATON INALAMBRICO;2;4
APPLE TV;2;4
↳TARJETA DANTE;2;4
MICROFONO/ALTAVOZ;2;4
INTERFACE DE AUDIO DANTE, PARA MIC ANALOGICO A DIGITAL DANTE;1;4
CARGADOR DICENTIS;1;4
MICROFONO EXTENSOR;1;4
MATRIZ VIDEO;3;3
DISTRIBUIDOR VIDEO;3;3
MONITOR TRABAJO/REF.;3;3
DSP;3;3
AMPLIFICADOR MIC;2;3
TARJETA DANTE;2;3
TRANSMISOR MICROFONIA;1;3
CAPTURADOR PANTALLA;1;3
PANTALLA PROYECCION;1;3
DANTE;1;3
ALTAVOCES (X4);1;3
CONVERSOR CATX - HDMI;1;3
MICRO BEAMTRACKING;1;3
WIRELESS DISPLAY;1;3
MICROFONO TECHO;1;3
COMPARTICION INALAMBRICA;1;3
SOPORTE ALTAVOCES;1;3
DSP AUDIO;2;2
DVD;2;2
MESA DE SONIDO;2;2
GRABADOR;2;2
SWITCHER;2;2
TRANSMISOR;2;2
AUDIOCONFERENCIA;2;2
MIRRORING;2;2
DISTRIBUIDOR HDMI;2;2
DONGLE MSDISPLAY;2;2
SIN CATEGORIA;2;2
MEZCLADOR DE AUDIO;2;2
PC SALA;2;2
MULTIVENTANA;2;2
ETAPA DE SONIDO;1;2
COLUMNA FON DLI-130 DANTE;1;2
FLIPCHART;1;2
TECLADO Y RATON;1;2
CAPTURADORA VIDEO;1;2
REPRODUCTOR;1;2
TRANSMISOR RADIADOR;1;2
INTERFAZ AUDIO USB;1;2
PULSADORES PANTALLAS;1;2
AMPLIFICADOR - MEZCLADOR;1;2
SUBWOOFER TECHO;1;2
PLAYER CARTELERIA;1;2
CONTROL AMPLIFICADORES;1;2
RACK HORIZONTAL SALAS VIDEOCONFERENCIA;1;2
ESTACION DE CARGA DE ACOPLAMIENTO DOBLE PARA BATERIA DE IONES DE LITIO SB903;1;2
DCN - EXPANSOR;1;2
CABLE C;1;2
SWITCH POE;1;2
BARRA SONIDO;1;1
INTERFAZ AUDIO;1;1
DIGITAL SYSTEMCONVERSION;1;1
SWITCH 4X1 (RACK);1;1
SUPRESOR FEEDBACK;1;1
MICRO SETA CAMARA;1;1
MESA MEZCLAS;1;1
PANTALLA MECANIZADA;1;1
CONTROLADORA VIDEOWALL;1;1
CAJA ACUSTICA;1;1
PORTATIL;1;1
RECEPTOR INALAMBRICO;1;1
HANG OUTERS;1;1
CAM;1;1
ROUTINGSWITCHER;1;1
EXPANSOR;1;1
BARRA VIDEOCONFERENCIA USB;1;1
CONTROLADORA VW;1;1
SENALETICA;1;1
EMISOR USB;1;1
SOPORTE DE PIE;1;1
CAMARA IP;1;1
MALETA RACK PRENSA;1;1
MICROFONIA ATRIL;1;1
CAPTURADORA;1;1
DVS;1;1
AMPLIFICADOR DANTE;1;1
BASE MICRO INALAMBRICO;1;1
CONMUTADOR 2/1 VGA;1;1
STEREO DOUBLE CASSETTE DECK;1;1
SELECTOR CONMUTADOR VGA;1;1
BARRA USB VIDEOCONFERENCIA;1;1
SPLITER;1;1
ANTENA;1;1
PANTALLA RETROPROYECCION;1;1
SOUND STATION;1;1
BARRA DE VIDEO;1;1
ETAPA POTENCIA;1;1
CAPTURADORA PANTALLA;1;1
RECEPTOR USB;1;1
SOPORTE CAMARA;1;1
TOTEM MONITOR;1;1
EXTENSOR BYOD;1;1
ESCALADORA;1;1
SWITCH/SELECTOR;1;1
EMBEBEDOR/DESEMBEBEDOR AUDIO;1;1
PANTALLA TACTIL;1;1
PREVIO AUDIO USB;1;1
TOTEM PIE CON RUEDAS;1;1
SPLITTER PRENSA;1;1
ALTAVOCES (X2);1;1
VIDEOWALL;1;1
CD MULTICOMP;1;1
MICROFONOS;1;1
PROCESADOR CONTROL IP;1;1
MICRO PETACA;1;1
RADIADOR IR;1;1
ANTENA UA8 SHURE;1;1
SISTEMA DE DEBATE;1;1
BARRA CISCO;1;1
CONVERSOR HDMI USBC;1;1
CONTROL PROCESOR;1;1
DVC PRO;1;1
SOPORTE PIE;1;1
RECEPTOR AUDIO;1;1
MINI AMPLIFICADOR;1;1
GW.MIDI;1;1
ESCALADOR ANEXO AUDITORIO;1;1
↳CONTROLADORA VW;1;1
IPAD;1;1
MESA DE MEZCLAS;1;1
EXPANSION MICROFONO;1;1
TELEFONO;1;1
PRESENTATION PDD;1;1
MESA SONIDO;1;1
MICROFONO MANO;1;1
DCN - INFRARROJOS;1;1
PASARELA RS232;1;1
EMBEBEDOR/DESESMBEBEDOR AUDIO;1;1
MICRO LAVALIER;1;1
ALTAVOCES (X14);1;1
