tipo;categoria;marca;modelo;descripcion;unidad;senal;conector_a;conector_b;longitudes_comerciales_m;bobina_m;diametro_mm;coste;proveedor;plazo_dias;stock_minimo
cable;CABLE HDMI;;HDMI 2.0 4K60 4:4:4;Latiguillo HDMI alta velocidad con Ethernet, hasta 5 m sin repetidor;ud;hdmi;HDMI A;HDMI A;1|2|3|5|7.5|10|15;;7.3;;;;
cable;CABLE HDMI;;HDMI 2.1 48G;Latiguillo HDMI 8K, tiradas cortas de rack a pantalla;ud;hdmi;HDMI A;HDMI A;1|2|3|5;;8.0;;;;
cable;CABLE HDMI;;HDMI fibra optica activa;Para tiradas largas a proyector o pantalla lejana;ud;hdmi;HDMI A;HDMI A;10|15|20|30|50;;4.8;;;;
cable;CABLE RED;;Cat6 U/UTP LSZH;Cable de red a metros para tomas y equipos;m;red;;;;305;5.5;;;;
cable;CABLE RED;;Cat6A F/UTP LSZH;Apantallado. Obligatorio para HDBaseT, Extron DTP y Dante;m;red;;;;305;7.0;;;;
cable;CABLE RED;;Latiguillo Cat6A F/UTP;Latiguillo montado para rack y equipos;ud;red;RJ45;RJ45;0.5|1|2|3|5|10;;7.0;;;;
cable;CABLE USB;;USB-C 3.2 Gen2 100W;Conexion de portatil a dock o caja de conexiones;ud;usb;USB-C;USB-C;1|2|3;;5.0;;;;
cable;CABLE USB;;USB-A a USB-B activo;Camaras y barras de videoconferencia a mas de 5 m;ud;usb;USB-A;USB-B;5|10|15;;5.5;;;;
cable;CABLE AUDIO;;Altavoz 2x2,5 mm2 LSZH;Linea de altavoces de techo y pared;m;audio_altavoz;;;;100;7.5;;;;
cable;CABLE AUDIO;;Altavoz 2x1,5 mm2 LSZH;Tiradas cortas de altavoz;m;audio_altavoz;;;;100;6.2;;;;
cable;CABLE AUDIO;;Microfono 2x0,22 apantallado;Cable de senal balanceada a metros;m;microfono;;;;100;5.0;;;;
cable;CABLE AUDIO;;Latiguillo XLR 3 pines;Microfonia y linea balanceada montada;ud;microfono;XLR M;XLR H;1|3|5|10|20;;6.5;;;;
cable;CABLE CONTROL;;RS-232 apantallado;Control de proyector y pantalla motorizada;m;control;;;;100;4.5;;;;
cable;CABLE ALIMENTACION;;Manguera 3x1,5 mm2 LSZH;Alimentacion de pantalla, rack y puntos de techo;m;alimentacion;;;;100;9.0;;;;
cable;CABLE ALIMENTACION;;Latiguillo Schuko-IEC C13;Alimentacion de equipo de rack;ud;alimentacion;Schuko;IEC C13;0.5|1|2|3|5;;7.0;;;;
consumible;CONECTOR;;Conector RJ45 Cat6 UTP;Conector de campo;ud;red;;;;;;;;;
consumible;CONECTOR;;Conector RJ45 Cat6A FTP;Conector apantallado de campo;ud;red;;;;;;;;;
consumible;CONECTOR;;Conector XLR macho;;ud;microfono;;;;;;;;;
consumible;CONECTOR;;Conector XLR hembra;;ud;microfono;;;;;;;;;
consumible;CANALIZACION;;Canaleta 25x16 mm;Canaleta blanca con tapa;m;otro;;;;;;;;;
consumible;CANALIZACION;;Canaleta 40x25 mm;Canaleta blanca con tapa;m;otro;;;;;;;;;
consumible;CANALIZACION;;Canaleta 60x40 mm;Canaleta blanca con tapa;m;otro;;;;;;;;;
consumible;CANALIZACION;;Tubo corrugado 20 mm;Tubo flexible libre de halogenos;m;otro;;;;;;;;;
consumible;CANALIZACION;;Tubo corrugado 25 mm;Tubo flexible libre de halogenos;m;otro;;;;;;;;;
consumible;FIJACION;;Brida nylon 200 mm;;ud;otro;;;;;;;;;
consumible;FIJACION;;Grapa sujetacables;;ud;otro;;;;;;;;;
consumible;FIJACION;;Soporte pantalla VESA fijo 400x400;Para pantallas de 55 y 65 pulgadas;ud;otro;;;;;;;;;
consumible;FIJACION;;Soporte pantalla VESA inclinable 600x400;;ud;otro;;;;;;;;;
consumible;MECANISMO;;Caja de superficie 2 modulos;;ud;otro;;;;;;;;;
consumible;MECANISMO;;Placa HDMI + RJ45 empotrable;Placa de pared para toma de sala;ud;otro;;;;;;;;;
