categoria;marca;modelo;unidades_instaladas;n_sedes
PANEL TÁCTIL;CISCO;CISCO ROOM NAVIGATOR;347;13
VIDEOCONFERENCIA;CISCO;SPARK ROOM KIT;285;14
PANTALLA;SAMSUNG;QB65R-B;264;14
MICRÓFONO;CISCO;TABLE MICROPHONE MINI JACK (V1);223;9
PANTALLA;SAMSUNG;QB65R;205;10
PC;LENOVO;M920Q;107;11
CAJA CONEXIONES;BACHMANN;TOPFRAME;102;1
MONITOR;SAMSUNG;QB65H;75;2
PANTALLA;SAMSUNG;QB55R;71;8
VIDEOCONFERENCIA;CISCO;WEBEX ROOM BAR PRO;71;8
BARRA VIDEOCONFERENCIA;AVER;VB342;69;2
ALTAVOZ;GENELEC;4010AW;62;8
MICRÓFONO;CISCO;TABLE MICROPHONE MINI JACK (V2);59;11
PANTALLA;SAMSUNG;QB55R-B;59;5
TRANSMISOR VIDEO;CRESTRON;DM-NVX-E30;59;1
MONITOR;SAMSUNG;OM75D-W;58;1
PANEL TÁCTIL;CISCO;CISCO TOUCH 10;58;8
RECEPTOR VÍDEO;EXTRON;DTP HDMI 4K 230 RX;52;8
MICRÓFONO;BOSCH;CONCENTRUS;48;1
CÁMARA;CRESTRON;UC-SB1-CAM;47;4
PANTALLA ROOMWIZARD;STEELCASE;ROOMWIZARD II;45;2
TRANSMISOR VÍDEO;EXTRON;DTP HDMI 4K 230 TX;44;6
PANEL TÁCTIL;CISCO;ROOM NAVIGATOR;41;9
MICRÓFONO;BOSCH;DCN-DISDCS-L;40;2
MICRÓFONO;DICENTIS;DCNM-WD;39;2
RECEPTOR DE VIDEO;CRESTRON;DM-NVX-D30;39;1
PC;LENOVO;THINKCENTRE M920Q;35;8
ALTAVOZ;BOSE;FREESPACE DS100F;32;1
PANEL TÁCTIL;CISCO;TOUCH 10;31;8
CÁMARA;CISCO;QUAD CAMERA;30;7
SOPORTE ALTAVOZ;GENELEC;8000-422B/W;30;1
SOPORTE PANTALLA;VOGELS;T1844;30;1
TECLADO/RATÓN;LOGITECH;MK710;27;3
MICRÓFONO;BOSCH;DCN-DVCS;25;1
PANTALLA;SAMSUNG;QB65C;25;6
PC;LENOVO;M910Q;25;9
VIDEOCONFERENCIA;CISCO;ROOM BAR PRO;25;9
TECLADO;LOGITECH;K400+;24;4
BARRA;CRESTRON;UC-SB1-CAM;22;3
DOCK STATION;TARGUS;DOCK182;22;2
PANTALLA;SAMSUNG;QB75R;21;7
PANTALLA;SAMSUNG;DM65D;20;7
PANTALLA;SAMSUNG;QB65N;20;7
PROYECTOR;SONY;VPL-PHZ10;20;6
MICRÓFONO;SHURE;BLX2/SM58;19;1
MICRÓFONO MESA;BOSCH;DCN-CONCS;19;1
PROYECTOR;EPSON;EB-1485FI;19;5
BARRA VIDEOCONFERENCIA;CRESTRON;UC-SB1-CAM;18;3
MICRÓFONO;SHURE;BLX1;18;1
PANTALLA;SAMSUNG;PM43H;18;3
VIDEOCONFERENCIA;CISCO;WEBEX ROOM EQ;17;4
MICRÓFONO;BEYER ORBIS;MU21;16;1
MONITOR;ARTHUR HOLM;AH19DX216GA2M2P;16;1
PROYECTOR;EPSON;EB-L630U;16;5
TRANSMISOR DE VIDEO;CRESTRON;DM-NVX-E30;16;1
ALTAVOZ;GENELEC;4010AM;15;2
MICRÓFONO;BOSCH;LBB4144/00;15;1
PUPITRES AUDIO;BOSCH;LBB4144/00;15;1
TOTEM PANTALLA;VOGELS;CONNECT-IT TROLLEY;15;1
BANDEJA CÁMARA;VOGELS;PVA 5050;14;1
CAJA CONEXIONES;AMX;HPX 1200;14;1
DOCK STATION;TARGUS;DOCK 192-A;14;1
DOCKSTATION;TARGUS;DOCK180EUZ;14;1
TECLADO;LOGITECH;K400 PLUS TV;14;2
VIDEOCONFERENCIA;CISCO;WEBEX ROOM EQ QUADCAM;14;1
CÁMARA;CISCO;P60;13;3
MICRÓFONO;YEALINK;VCM35;13;5
MONITOR;ALBIRAL;AH17TXHDGA;13;2
RECEPTOR VÍDEO;CRESTRON;DM-NVX-D30;13;2
TRANSMISOR VÍDEO;CRESTRON;DM-NVX-E20;13;2
CONTROLADORA;EXTRON;IPCP PRO 250;12;6
ESCALADOR;EXTRON;IN1604 HD;12;6
MICROFONIA;SHURE;BLX1288/W85 COMBO S8;12;1
PANEL CISCO;CISCO;CISCO ROOM NAVIGATOR;12;1
RECEPTOR VIDEO;CRESTRON;DM-NVX-D30;12;1
VIDEOCONFERENCIA;CISCO;ROOM KIT EQ;12;5
ALTAVOCES;GENELEC;4010A;11;5
MICRÓFONO;CISCO;TABLE MICROPHONE 20;11;1
MONITOR;SONY;LMD-150S;11;1
PANTALLA;SAMSUNG;QB43R;11;1
PANTALLA;SAMSUNG;QB65B;11;4
ALTAVOCES TECHO;MONITOR AUDIO;PRO-65;10;1
BARRA VIDEOCONFERENCIA;CISCO;CISCO ROOM KIT;10;1
CONTROLADORA;CRESTRON;MC4;10;7
CÁMARA;AVER;CAM520PRO POE;10;1
MICRÓFONO;BIAMP;TESIRA PARLÉ TCM-XEX;10;1
MICRÓFONO;BOSCH;DCN-CON;10;1
BARRA;AVER;VB342;9;2
CÁMARA;CISCO;PTZ 4K;9;6
EXTENSOR;CRESTRON;HD-RXU-4KZ-101-E DM;9;1
EXTENSOR;CRESTRON;HD-TXU-4KZ-211-CHGR;9;1
MONITOR TÁCTIL;NEWLINE;TT-2721AIO;9;1
PANTALLA;SAMSUNG;QM32R-B;9;1
PROYECTOR;LG;LGBU50NST;9;2
SWITCH;NETGEAR;GS305EP;9;2
TECLADO/RATÓN;LOGITECH;K400+;9;3
TOUCH PANEL;CISCO;CISCO TOUCH 10;9;1
TRANSMISOR VÍDEO;CRESTRON;DM-NVX E20;9;1
VIDEOCONFERENCIA;CISCO;ROOM KIT PRO;9;1
ALTAVOCES;GENELEC;4010AW;8;3
ALTAVOZ;BOSE;FREESPACE 3;8;1
ALTAVOZ;MONITOR AUDIO;PRO-65;8;1
BARRA VIDEOCONFERENCIA;YEALINK;A40;8;1
CONTROLADORA;CRESTRON;MC4 (PC);8;1
CONTROLADORA;CRESTRON;RMC4;8;3
CONTROLADORA PROYECTOR;EPSON;ELPHD02;8;1
ESCALADOR;CRESTRON;HD-RX-4K-510-CE;8;1
EXTENSOR;YEALINK;VCH51;8;1
KIT BOTONES;EXTRON;CB-100-010525;8;1
MONITOR;LG;75XS4G-BJ;8;1
PANEL TÁCTIL;CRESTRON;TS-1070;8;4
PANTALLA;SAMSUNG;DM55E;8;4
PANTALLA;SONY;FW - 65X8570C;8;1
RECEPTOR VÍDEO;CRESTRON;DM-NVX-D20;8;1
TELÉFONO IP;CISCO;CP-7945G;8;1
VIDEOCONFERENCIA;CISCO;ROOM BAR BYOD;8;5
CÁMARA;SONY;SRG-X400;7;3
EXTENSOR VIDEO;EXTRON;TX DTP3 T 202;7;1
MATRIZ;LIGHTWARE;UCX-4X2-HC30;7;3
PANTALLA;SAMSUNG;QB55N;7;3
PANTALLA;SAMSUNG;QB75N;7;5
PANTALLA;SONY;KDL-55W802A;7;3
PANTALLA;SONY;KDL-65W855A;7;5
PC;HP;PRODESK 600 G4;7;4
SOPORTE PROYECTOR;TRAULUX;SPT-82120;7;1
