tipologia;aforo;n_salas_reales;categoria_equipo;cantidad_media;modelo_dominante;n_con_ese_modelo
SALA TP;8;144;PANTALLA;1.07;SAMSUNG QB65R-B;86
SALA TP;8;144;VIDEOCONFERENCIA;1.0;CISCO SPARK ROOM KIT;137
SALA TP;8;144;PANEL TÁCTIL;1.0;CISCO CISCO ROOM NAVIGATOR;112
SALA TP;8;144;CAJA CONEXIONES;0.92;AMX ;73
SALA TP;8;144;MICRÓFONO;0.7;CISCO TABLE MICROPHONE MINI JACK (V1);97
ULTRALIGERA QR;4;55;PANTALLA;1.0;SAMSUNG QB55R-B;35
SALA TP;4;32;VIDEOCONFERENCIA;1.0;CISCO SPARK ROOM KIT;29
SALA TP;4;32;PANTALLA;1.0;SAMSUNG QB55R-B;13
SALA TP;4;32;PANEL TÁCTIL;1.0;CISCO CISCO ROOM NAVIGATOR;27
SALA TP;4;32;CAJA CONEXIONES;0.78;BACHMANN TOPFRAME;13
SALA TP;4;32;MICRÓFONO;0.47;CISCO TABLE MICROPHONE MINI JACK (V1);14
ULTRALIGERA QR;6;22;PANTALLA;1.0;SAMSUNG QB65R-B;13
ULTRALIGERA QR;6;22;PANTALLA ROOMWIZARD;0.64;STEELCASE ROOMWIZARD II;14
FIJA TP;10;22;PANTALLA;1.91;SAMSUNG QB65R-B;26
FIJA TP;10;22;MICRÓFONO;1.0;CISCO TABLE MICROPHONE MINI JACK (V1);21
FIJA TP;10;22;VIDEOCONFERENCIA;0.95;CISCO WEBEX ROOM BAR PRO;18
FIJA TP;10;22;PANEL TÁCTIL;0.95;CISCO CISCO ROOM NAVIGATOR;21
FIJA TP;10;22;CAJA CONEXIONES;0.5;AMX ;11
TOTEM;;18;PANTALLA;0.94;SAMSUNG PM43H;16
LIGERA;3;15;PANTALLA;1.0;SAMSUNG QM32R-B;9
LIGERA;3;15;DOCK STATION;1.0;TARGUS DOCK182;15
LIGERA;3;15;WEBCAM;0.4;JABRA PANACAST;6
ULTRALIGERA QR;8;15;PANTALLA;1.0;SAMSUNG QB65R-B;14
ULTRALIGERA QR;8;15;PANTALLA ROOMWIZARD;0.53;STEELCASE ROOMWIZARD II;8
LIGERA;;9;PANTALLA;2.0;SONY FW - 65X8570C;8
LIGERA;;9;DOCK STATION;0.33;TARGUS DOCK182;2
FIJA TP;14;8;PANTALLA;2.0;SAMSUNG QB65R-B;16
FIJA TP;14;8;MICRÓFONO;2.0;CISCO TABLE MICROPHONE MINI JACK (V1);8
FIJA TP;14;8;VIDEOCONFERENCIA;1.0;CISCO WEBEX ROOM EQ QUADCAM;6
FIJA TP;14;8;CAJA CONEXIONES;1.0;AMX ;8
FIJA TP;14;8;PANEL TÁCTIL;1.0;CISCO CISCO ROOM NAVIGATOR;8
FIJA TP;14;8;CÁMARA;0.75;CISCO QUAD CAMERA;6
SALA TP;6;6;PANTALLA;1.17;SAMSUNG QB65R-B;5
SALA TP;6;6;VIDEOCONFERENCIA;1.17;CISCO SPARK ROOM KIT;6
SALA TP;6;6;PANEL TÁCTIL;1.0;CISCO CISCO ROOM NAVIGATOR;5
SALA TP;6;6;MICRÓFONO;0.83;CISCO TABLE MICROPHONE MINI JACK (V1);4
SALA TP;6;6;CAJA CONEXIONES;0.5;AMX ;2
SALA TP;6;6;MATRIZ;0.33;LIGHTWARE UCX-4X2-HC30;2
SALA TP;6;6;DOCK STATION;0.33;TARGUS DOCK182;2
TOTEM;0;6;TOTEM;1.0;VOGEL'S FD 2064 S TOTEM;3
TOTEM;0;6;PANTALLA;1.0;SAMSUNG DM65E;2
TOTEM;0;6;PC;0.5;LENOVO THINKCENTRE M920Q;2
VIP;24;5;MICRÓFONO;11.2;BOSCH CONCENTRUS;48
VIP;24;5;RECEPTOR VÍDEO;3.4;EXTRON DTP HDMI 4K 230 RX;17
VIP;24;5;ALTAVOZ;3.2;BOSE FREESPACE DS100F;16
VIP;24;5;MONITOR;2.8;ALBIRAL AH17TXHDGA;12
VIP;24;5;TRANSMISOR VÍDEO;2.6;EXTRON DTP HDMI 4K 230 TX;13
VIP;24;5;CÁMARA;1.6;SONY SRG-X400;4
VIP;24;5;PANEL TÁCTIL;1.6;CISCO CISCO ROOM NAVIGATOR;4
VIP;24;5;EXTENSOR;1.6;CRESTRON HD-TXU-4KZ-211-CHGR;4
VIP;24;5;PANTALLA;1.4;SAMSUNG QB55C;4
VIP;24;5;AMPLIFICADOR;0.8;BITTNER BASIC 400;4
VIP;24;5;UNIDAD CONTROL MICROFONÍA;0.8;BOSCH DCN-CCU2;2
VIP;24;5;PROYECTOR;0.8;EPSON EB-L630U;4
VIP;24;5;PC;0.8;HP PRODESK 600 G4;2
VIP;24;5;VIDEOCONFERENCIA;0.8;CISCO WEBEX ROOM EQ;4
VIP;24;5;MATRIZ;0.4;EXTRON DTP CROSSPOINT 108;2
VIP;24;5;PASARELA;0.4;CRESTRON HD-CTL-101;2
VIP;24;5;CONTROLADORA;0.4;CRESTRON RMC4;2
VIP;24;5;PROCESADOR AUDIO;0.4;BIAMP TESIRAFORTÉ CI;1
VIP;24;5;CAJA CONEXIONES;0.4;BACHMANN TOPFRAME;2
VIP;24;5;RECEPTOR MICRÓFONO;0.4;SHURE SLXD4D;2
VIP;24;5;BASE CARGA MICRÓFONO;0.4;SHURE SBC203;2
VIP;24;5;PANTALLA ROOMWIZARD;0.4;STEELCASE ROOMWIZARD II;2
SALA TP;12;5;PANTALLA;1.8;SAMSUNG QB65R-B;4
SALA TP;12;5;MICRÓFONO;1.4;CISCO TABLE MICROPHONE MINI JACK (V1);4
SALA TP;12;5;CAJA CONEXIONES;1.2;BACHMANN TOPFRAME;6
SALA TP;12;5;VIDEOCONFERENCIA;1.0;CISCO WEBEX ROOM EQ;2
SALA TP;12;5;PANEL TÁCTIL;1.0;CISCO CISCO ROOM NAVIGATOR;4
SALA TP;12;5;PANTALLA ROOMWIZARD;0.4;STEELCASE ROOMWIZARD II;2
SALA TP;12;5;CÁMARA;0.4;CISCO QUAD CAMERA;2
VIP;16;4;MONITOR;4.0;ARTHUR HOLM AH19DX216GA2M2P;16
VIP;16;4;CAJA CONEXIONES;3.0;BACHMANN TOPFRAME;12
VIP;16;4;ALTAVOZ;3.0;BOSE FREESPACE DS100F;8
VIP;16;4;TRANSMISOR VÍDEO;2.25;EXTRON DTP HDMI 4K 230 TX;8
VIP;16;4;CÁMARA;2.0;CISCO QUAD CAMERA;2
VIP;16;4;MICRÓFONO;2.0;CISCO TABLE MICROPHONE MINI JACK (V2);2
VIP;16;4;PANEL TÁCTIL;1.75;CISCO CISCO ROOM NAVIGATOR;4
VIP;16;4;EXTENSOR;1.5;CRESTRON HD-TXU-4KZ-211-CHGR;3
VIP;16;4;VIDEOCONFERENCIA;1.0;CISCO WEBEX ROOM EQ;3
VIP;16;4;UNIDAD CONTROL MICROFONÍA;1.0;BOSCH DCN-CCU2;1
VIP;16;4;RECEPTOR VÍDEO;1.0;EXTRON DTP HDMI 4K 230 RX;4
VIP;16;4;PASARELA;0.75;CRESTRON HD-CTL-101;2
VIP;16;4;PANTALLA;0.5;SAMSUNG QB65B;1
VIP;16;4;PC;0.5;HP PRODESK 600 G4;1
VIP;16;4;CONTROLADORA;0.5;CRESTRON RMC4;2
VIP;16;4;PROCESADOR AUDIO;0.5;BIAMP TESIRA FORTE CI;2
VIP;16;4;PROYECTOR;0.5;SONY VPL-FHZ700L;1
VIP;16;4;MATRIZ;0.5;EXTRON DTP CROSSPOINT 108;2
VIP;16;4;RECEPTOR MICRÓFONO;0.5;SENNHEISER EM2050 558-626 MHZ;2
VIP;16;4;DISTRIBUIDOR;0.5;CRESTRON HD-DA8-4KZ-E;2
VIP;16;4;AMPLIFICADOR;0.5;BITTNER BASIC 400;1
