presupuesto;proveedor;fecha;referencia;marca;modelo;descripcion;tipo;categoria;unidad;senal;conector_a;conector_b;longitud_m;bobina_m;cantidad;precio_compra;unidades_por_compra;moneda;revisar
Cisco QA152721337VJ;CISCO SYSTEMS;2024-03-04;CS-KITPRO-K9;CISCO;ROOM KIT PRO;Cisco Room Kit Pro - Codec, Quad Cam, Navigator;equipo;VIDEOCONFERENCIA;ud;;;;;;1;11641.33;1;USD;Linea 3.0. Unit Net Price. Estimacion no vinculante en USD de marzo de 2024
Cisco QA152721337VJ;CISCO SYSTEMS;2024-03-04;CS-KITPLUS-K9;CISCO;ROOM KIT PLUS;Room Kit Plus w/Codec Plus, Quad Camera and Room Navigator;equipo;VIDEOCONFERENCIA;ud;;;;;;1;7671.07;1;USD;Linea 8.0. El catalogo tiene ademas SPARK ROOM KIT PLUS, que puede ser el mismo producto con la marca antigua: no se le cuelga el precio
Cisco QA152721337VJ;CISCO SYSTEMS;2024-03-04;CS-KIT-K9;CISCO;CS-KIT-K9;Cisco Room Kit with integrated mic, speakers and Navigator;equipo;VIDEOCONFERENCIA;ud;;;;;;1;4330.07;1;USD;Linea 10.0. El catalogo guarda este articulo con el propio part number como modelo
Cisco QA152721337VJ;CISCO SYSTEMS;2024-03-04;CS-KIT-MINI-K9;CISCO;MINI SPARK ROOM KIT;Room Kit Mini with microphone array, speakers and Navigator;equipo;VIDEOCONFERENCIA;ud;;;;;;1;2179.92;1;USD;Linea 11.0. Unico Room Kit Mini del catalogo, escrito con las palabras en otro orden
Cisco QA152721337VJ;CISCO SYSTEMS;2024-03-04;CS-BRD55P-K9;CISCO;WEBEX BOARD PRO 55;Cisco Board Pro 55;equipo;VIDEOCONFERENCIA;ud;;;;;;1;8696.52;1;USD;Linea 17.0. Primera generacion. BOARD PRO 55 G2 es la segunda y tiene otro part number: no se le cuelga el precio
Cisco QA152721337VJ;CISCO SYSTEMS;2024-03-04;CS-DESK-K9;CISCO;CS-DESK-K9;Cisco Desk - First Light (White);equipo;VIDEOCONFERENCIA;ud;;;;;;1;1816.05;1;USD;Linea 19.0. El catalogo guarda este articulo con el propio part number como modelo
Cisco QA152721337VJ;CISCO SYSTEMS;2024-03-04;CS-DESKMINI-K9;CISCO;CS-DESKMINI-K9;Cisco Desk Mini;equipo;VIDEOCONFERENCIA;ud;;;;;;1;1220.62;1;USD;Linea 20.0. El catalogo guarda este articulo con el propio part number como modelo
Cisco QA152721337VJ;CISCO SYSTEMS;2024-03-04;CTS-CAM-P60=;CISCO;CTS-CAM-P60;Cisco TelePresence Precision 60 Camera Spare;equipo;CÁMARA;ud;;;;;;1;3465.15;1;USD;Linea 21.0. Recambio. P60 y PRECISION 60 son probablemente la misma camara escrita de otra forma y no se les cuelga el precio
Cisco QA152721337VJ;CISCO SYSTEMS;2024-03-04;CS-CAM-PTZ4K=;CISCO;PTZ 4K;Pan-Tilt-Zoom 4K 20x Camera;equipo;CÁMARA;ud;;;;;;1;3465.15;1;USD;Linea 22.0. Recambio
Cisco QA152721337VJ;CISCO SYSTEMS;2024-03-04;CS-MIC-TABLE-J;CISCO;TABLE MICROPHONE MINI JACK (V1);Cisco Table Microphone with Jack Plug;equipo;MICRÓFONO;ud;microfono;;;;;1;215.01;1;USD;Lineas 5.3, 8.2 y 9.3, las tres al mismo precio. El part number ya estaba colgado de la V1 en precios-orientativos.csv. La V2 se queda sin precio
