marca;modelo;categoria;nombre;total;sentido;senal;conector;orden;notas
CISCO;ROOM NAVIGATOR;PANEL TÁCTIL;NETWORK;1;bidireccional;red;RJ45;1;Un solo cable para red y alimentación. Se alimenta por PoE. Emparejamiento directo a un puerto PoE del codec o remoto por LAN. Cat5e o Cat6 hasta 100 m
CISCO;ROOM NAVIGATOR;PANEL TÁCTIL;MICRO USB;1;bidireccional;usb;Micro-USB;2;Depuración y servicio. No se cablea en la instalación
CISCO;TOUCH 10;PANEL TÁCTIL;NETWORK;1;bidireccional;red;RJ45;1;Un solo cable para red y alimentación PoE 802.3af. Emparejamiento directo al codec o por LAN con inyector PoE intermedio. El inyector debe estar en el mismo edificio
CISCO;SPARK ROOM KIT;VIDEOCONFERENCIA;HDMI IN;1;entrada;hdmi;HDMI A;1;Presentación. Hasta 3840x2160 a 30 fps. CEC 2.0
CISCO;SPARK ROOM KIT;VIDEOCONFERENCIA;HDMI OUT 1;1;salida;hdmi;HDMI A;2;Pantalla principal. Hasta 3840x2160 a 60 fps
CISCO;SPARK ROOM KIT;VIDEOCONFERENCIA;HDMI OUT 2;1;salida;hdmi;HDMI A;3;Segunda pantalla. Hasta 3840x2160 a 60 fps
CISCO;SPARK ROOM KIT;VIDEOCONFERENCIA;MIC IN;2;entrada;microfono;Jack 3.5;4;Dos entradas de micrófono en mini jack de 4 pines. Aquí van los Cisco Table Microphone
CISCO;SPARK ROOM KIT;VIDEOCONFERENCIA;LINE OUT;1;salida;audio_linea;Jack 3.5;5;Mini jack estéreo. Preparado para subwoofer o bucle de inducción
CISCO;SPARK ROOM KIT;VIDEOCONFERENCIA;LAN;1;bidireccional;red;RJ45;6;Ethernet 10/100/1000 a la red del edificio
CISCO;SPARK ROOM KIT;VIDEOCONFERENCIA;TOUCH;1;bidireccional;red;RJ45;7;Ethernet dedicada al emparejamiento directo del Touch 10 o del Room Navigator. Da PoE al panel
CISCO;SPARK ROOM KIT;VIDEOCONFERENCIA;USB;1;bidireccional;usb;USB-A;8;USB 2.0. La ficha dice USB 2.0 pero no el tipo de conector. USB-A sin confirmar en ficha técnica
CISCO;SPARK ROOM KIT;VIDEOCONFERENCIA;POWER IN;1;entrada;alimentacion;;9;Fuente externa de 100-240 V CA con salida de 12 V CC al equipo. Tipo de conector del equipo sin confirmar en ficha técnica
CISCO;WEBEX ROOM BAR PRO;VIDEOCONFERENCIA;HDMI IN;1;entrada;hdmi;HDMI A;1;Presentación. Hasta 3840x2160 a 30 fps. CEC 2.0
CISCO;WEBEX ROOM BAR PRO;VIDEOCONFERENCIA;HDMI OUT;3;salida;hdmi;HDMI A;2;Tres salidas hasta 3840x2160 a 60 fps. Admiten pantalla táctil usando además un USB-A para el retorno del táctil
CISCO;WEBEX ROOM BAR PRO;VIDEOCONFERENCIA;USB-C;1;bidireccional;usb;USB-C;3;Entrada de vídeo y audio y passthrough de cámara micrófono y altavoces con un solo cable para BYOD. Requiere DisplayPort alt mode en el portátil
CISCO;WEBEX ROOM BAR PRO;VIDEOCONFERENCIA;LAN;1;bidireccional;red;RJ45;4;Ethernet 10/100/1000 a la red del edificio
CISCO;WEBEX ROOM BAR PRO;VIDEOCONFERENCIA;PoE NAVIGATOR;1;bidireccional;red;RJ45;5;Ethernet PoE 802.3af con presupuesto de 15,4 W para el emparejamiento directo del Room Navigator
CISCO;WEBEX ROOM BAR PRO;VIDEOCONFERENCIA;PoE AV;2;bidireccional;red;RJ45;6;Dos puertos PoE 802.3af de 15,4 W cada uno para micrófonos IP y equipo de audio AES67. Más de tres micrófonos IP exigen licencia AV Integrator
CISCO;WEBEX ROOM BAR PRO;VIDEOCONFERENCIA;MIC IN;2;entrada;microfono;Jack 3.5;7;Dos entradas analógicas de micrófono. La ficha no da el conector. Mini jack de 4 pines sin confirmar en ficha técnica
CISCO;WEBEX ROOM BAR PRO;VIDEOCONFERENCIA;LINE OUT;1;salida;audio_linea;Jack 3.5;8;Una salida de línea analógica. La ficha no da el conector. Sin confirmar en ficha técnica
CISCO;WEBEX ROOM BAR PRO;VIDEOCONFERENCIA;USB-A;2;bidireccional;usb;USB-A;9;USB 2.0 para pantalla táctil micrófonos teclados y periféricos de sala
CISCO;WEBEX ROOM BAR PRO;VIDEOCONFERENCIA;MICRO USB;1;bidireccional;usb;Micro-USB;10;Puerto de servicio. No se cablea en la instalación
CISCO;WEBEX ROOM BAR PRO;VIDEOCONFERENCIA;POWER IN;1;entrada;alimentacion;;11;100-240 V CA a 50/60 Hz con cable de red específico por país. Media de 20 W. Tipo de conector sin confirmar en ficha técnica
CISCO;TABLE MICROPHONE MINI JACK (V1);MICRÓFONO;SALIDA DE MICRÓFONO;1;salida;microfono;Jack 3.5;1;Cable fijo de 7,5 m terminado en mini jack macho de 4 pines. Extensión CAB-MIC-EXT-J de 9 m. No lleva alimentación propia. Se alimenta del codec
CISCO;TABLE MICROPHONE MINI JACK (V2);MICRÓFONO;SALIDA DE MICRÓFONO;1;salida;microfono;Jack 3.5;1;Mismo conector que la V1. Longitud exacta del cable de la V2 sin confirmar en ficha técnica. No lleva alimentación propia
SAMSUNG;QB65R-B;PANTALLA;HDMI IN 1;1;entrada;hdmi;HDMI A;1;HDMI 2.0 con ARC y HDCP 2.2. Entrada principal
SAMSUNG;QB65R-B;PANTALLA;HDMI IN 2;1;entrada;hdmi;HDMI A;2;HDMI 2.0. Segunda fuente
SAMSUNG;QB65R-B;PANTALLA;DVI IN;1;entrada;otro;DVI-D;3;DVI-D. Admite fuente HDMI con cable HDMI-DVI. El audio de esta entrada va por DVI/HDMI AUDIO IN
SAMSUNG;QB65R-B;PANTALLA;DVI/HDMI AUDIO IN;1;entrada;audio_linea;Jack 3.5;4;Mini jack estéreo. Audio analógico de la fuente DVI
SAMSUNG;QB65R-B;PANTALLA;AUDIO OUT;1;salida;audio_linea;Jack 3.5;5;Mini jack estéreo a sistema de audio externo
SAMSUNG;QB65R-B;PANTALLA;RJ45;1;bidireccional;red;RJ45;6;Red y control MDC a 10/100 Mbps. Samsung recomienda Cat7 apantallado
SAMSUNG;QB65R-B;PANTALLA;RS232C IN;1;entrada;control;Jack 3.5;7;Control MDC con adaptador RS232C. Es un jack estéreo pero no lleva audio. La ficha de serie menciona además RS232C OUT pero no está confirmado en este tamaño
SAMSUNG;QB65R-B;PANTALLA;USB 1;1;bidireccional;usb;USB-A;8;USB 2.0 hasta 1,0 A. Reproducción local desde memoria USB
SAMSUNG;QB65R-B;PANTALLA;USB 2;1;bidireccional;usb;USB-A;9;USB 2.0 hasta 0,5 A
SAMSUNG;QB65R-B;PANTALLA;IR IN;1;entrada;control;Jack 3.5;10;Cable receptor de infrarrojos externo. Tipo de conector sin confirmar en ficha técnica
SAMSUNG;QB65R-B;PANTALLA;POWER IN;1;entrada;alimentacion;;11;100-240 V CA a 50/60 Hz con cable desmontable. 128 W típicos. Tipo de conector IEC sin confirmar en ficha técnica
SAMSUNG;QB65R;PANTALLA;HDMI IN 1;1;entrada;hdmi;HDMI A;1;HDMI 2.0 con ARC y HDCP 2.2. Entrada principal
SAMSUNG;QB65R;PANTALLA;HDMI IN 2;1;entrada;hdmi;HDMI A;2;HDMI 2.0. Segunda fuente
